아파트,전용면적,층,거래금액,건축년도,계약년월,법정동,시군구코드
안산고잔푸르지오1차,59,1,"25,638",2001,202501,고잔동,41273
안산고잔푸르지오1차,59,5,"26,277",2001,202501,고잔동,41273
안산고잔푸르지오1차,59,7,"27,107",2001,202501,고잔동,41273
안산고잔푸르지오1차,84,2,"37,712",2001,202501,고잔동,41273
안산고잔푸르지오1차,59,13,"26,550",2001,202501,고잔동,41273
안산고잔푸르지오2차,114,2,"50,679",2001,202501,고잔동,41273
안산고잔푸르지오2차,59,12,"27,277",2001,202501,고잔동,41273
안산고잔푸르지오3차,105,15,"52,127",2002,202501,고잔동,41273
안산고잔푸르지오3차,84,10,"38,145",2002,202501,고잔동,41273
안산고잔푸르지오3차,105,15,"51,295",2002,202501,고잔동,41273
안산고잔푸르지오4차,84,1,"37,521",2002,202501,고잔동,41273
안산고잔푸르지오4차,84,5,"36,950",2002,202501,고잔동,41273
안산고잔푸르지오5차,89,3,"39,340",2003,202501,고잔동,41273
안산고잔푸르지오5차,89,14,"43,124",2003,202501,고잔동,41273
안산고잔푸르지오5차,89,5,"41,447",2003,202501,고잔동,41273
안산고잔푸르지오5차,89,13,"44,682",2003,202501,고잔동,41273
안산센트럴푸르지오,74,6,"41,316",2019,202501,고잔동,41273
안산센트럴푸르지오,59,6,"33,339",2019,202501,고잔동,41273
안산센트럴푸르지오,84,2,"47,153",2019,202501,고잔동,41273
안산센트럴푸르지오,59,11,"32,325",2019,202501,고잔동,41273
안산레이크타운푸르지오,101,10,"51,369",2012,202501,고잔동,41273
안산레이크타운푸르지오,84,11,"42,699",2012,202501,고잔동,41273
안산레이크타운푸르지오,84,14,"44,886",2012,202501,고잔동,41273
고잔주공8단지,49,10,"21,299",1994,202501,고잔동,41273
고잔주공8단지,59,11,"24,745",1994,202501,고잔동,41273
고잔주공8단지,59,9,"25,699",1994,202501,고잔동,41273
고잔주공9단지,59,3,"23,721",1995,202501,고잔동,41273
고잔주공9단지,74,5,"31,793",1995,202501,고잔동,41273
그린빌9단지,84,2,"34,749",1995,202501,고잔동,41273
그린빌9단지,59,7,"23,826",1995,202501,고잔동,41273
그린빌9단지,84,1,"34,119",1995,202501,고잔동,41273
그린빌9단지,84,10,"35,508",1995,202501,고잔동,41273
그린빌9단지,59,9,"26,031",1995,202501,고잔동,41273
