아파트,전용면적,층,거래금액,건축년도,계약년월,source
안산고잔푸르지오5차,89,12,"41,137",2003,202501,molit_sim
안산고잔푸르지오5차,105,1,"47,207",2003,202501,molit_sim
안산센트럴푸르지오,84,6,"47,889",2019,202501,molit_sim
안산센트럴푸르지오,84,7,"45,902",2019,202501,molit_sim
안산센트럴푸르지오,84,1,"49,011",2019,202501,molit_sim
안산레이크타운푸르지오,101,8,"53,617",2012,202501,molit_sim
안산레이크타운푸르지오,84,5,"41,644",2012,202501,molit_sim
안산레이크타운푸르지오,84,13,"42,636",2012,202501,molit_sim
안산레이크타운푸르지오,84,13,"42,704",2012,202501,molit_sim
고잔주공8단지,49,12,"21,524",1994,202501,molit_sim
고잔주공8단지,59,2,"25,228",1994,202501,molit_sim
고잔주공8단지,59,2,"26,036",1994,202501,molit_sim
고잔주공8단지,59,11,"23,879",1994,202501,molit_sim
