source,apt_name,area,floor,price,deal_date,built_year,dong
molit,호수공원(대림1),134.878,10,100000,2025-01-16,2001,고잔동
molit,휴먼시아4단지,84.95,14,39000,2025-01-31,2012,신길동
molit,푸르지오1차,95.4946,3,65500,2025-01-22,2001,고잔동
molit,공작한양(고층),28.215,5,10000,2025-01-21,1992,선부동
molit,주공그린빌11,84.99,2,47000,2025-01-23,2003,초지동
molit,안산메트로타운푸르지오힐스테이트,84.508,14,50000,2025-01-05,2018,선부동
molit,안산아이파크,84.26,2,44000,2025-01-21,2013,신길동
molit,주공그린빌14단지,59.76,1,30500,2025-01-04,2002,초지동
molit,안산8차푸르지오,114.9794,13,51500,2025-01-24,2006,원곡동
molit,주공그린빌11,84.99,2,47000,2025-01-23,2003,초지동
molit,푸르지오1차,71.1837,7,53400,2025-01-25,2001,고잔동
molit,주공그린빌11,84.99,2,47000,2025-01-23,2003,초지동
molit,e편한세상선부파크플레이스2차,84.98,9,59300,2025-01-07,2018,선부동
molit,단원마을금강펜테리움,62.82,3,46000,2025-01-20,2002,고잔동
molit,주공그린빌9,75.58,11,46000,2025-01-19,2001,고잔동
molit,주공(9단지),64.62,12,36000,2025-01-31,1986,고잔동
molit,주공그린빌11,84.99,2,47000,2025-01-23,2003,초지동
molit,그린빌18,49.86,3,24700,2025-01-22,2001,초지동
molit,호수공원(대림1),163.47,19,102000,2025-01-17,2001,고잔동
molit,주공그린빌8,84.5,1,53500,2025-01-17,2001,고잔동
molit,휴먼시아6단지,84.64,14,39300,2025-01-13,2009,신길동
molit,천년가리더스카이,74.9807,23,40300,2025-01-04,2020,와동
molit,그린빌15(해맑음마을),59.97,5,34000,2025-01-25,2002,초지동
molit,안산8차푸르지오,84.9897,5,30800,2025-01-23,2006,원곡동
molit,삼익,110.97,3,35000,2025-01-17,1998,신길동
molit,군자주공15(고층),41.3,15,21975,2025-01-31,1993,선부동
molit,군자주공12,38.64,10,22500,2025-01-20,1991,선부동
molit,군자주공15(저층),39.61,2,19500,2025-01-18,1992,선부동
molit,이편한세상선부역어반스퀘어,74.95,11,60800,2025-01-30,2020,선부동
molit,주공그린빌14단지,59.76,1,30500,2025-01-04,2002,초지동
molit,산호한양,42.615,11,16700,2025-01-31,1993,선부동
molit,초지역메이저타운푸르지오메트로단지,48.3659,3,49300,2025-01-15,2019,초지동
molit,산호한양,29.2725,18,11700,2025-01-20,1993,선부동
molit,안산8차푸르지오,84.9897,8,42500,2025-01-23,2006,원곡동
molit,주공그린빌13단지,51.89,5,30000,2025-01-18,2002,초지동
molit,주공그린빌13단지,51.89,1,25800,2025-01-20,2002,초지동
molit,e편한세상선부파크플레이스2차,84.98,17,59000,2025-01-11,2018,선부동
molit,힐스테이트중앙,59.9929,10,67900,2025-01-15,2018,고잔동
