source,stat_id,period,region,region_full,item,value,unit
rone,A_2024_00178,202501,도심권,서울>도심권,지수,177.065799220043,지수
rone,A_2024_00178,202501,전국,전국,지수,123.956294753971,지수
rone,A_2024_00178,202501,수도권,수도권,지수,146.489371391185,지수
rone,A_2024_00178,202501,동북권,서울>동북권,지수,169.621690086402,지수
rone,A_2024_00178,202501,지방,지방,지수,105.283539225619,지수
rone,A_2024_00178,202501,동남권,서울>동남권,지수,176.894452426456,지수
rone,A_2024_00178,202501,서북권,서울>서북권,지수,165.497370051126,지수
rone,A_2024_00178,202501,서울,서울,지수,170.369661555924,지수
rone,A_2024_00178,202501,부산,부산,지수,102.55445404527,지수
rone,A_2024_00178,202501,서남권,서울>서남권,지수,167.345403739545,지수
rone,A_2024_00178,202501,대구,대구,지수,97.4264655876095,지수
rone,A_2024_00178,202501,인천,인천,지수,122.463770663573,지수
rone,A_2024_00178,202501,광주,광주,지수,121.00586239564,지수
rone,A_2024_00178,202501,대전,대전,지수,138.845109474958,지수
rone,A_2024_00178,202501,울산,울산,지수,100.838200652806,지수
rone,A_2024_00178,202501,세종,세종,지수,125.960804677132,지수
rone,A_2024_00178,202501,경기,경기,지수,139.661298181253,지수
rone,A_2024_00178,202501,강원,강원,지수,109.988659415516,지수
rone,A_2024_00178,202501,충북,충북,지수,108.116274419338,지수
rone,A_2024_00178,202501,충남,충남,지수,103.672485678677,지수
rone,A_2024_00178,202501,전북,전북,지수,110.043986666864,지수
rone,A_2024_00178,202501,전남,전남,지수,105.107608010058,지수
rone,A_2024_00178,202501,경북,경북,지수,99.0445571611499,지수
rone,A_2024_00178,202501,경남,경남,지수,93.5509586867326,지수
rone,A_2024_00178,202501,제주,제주,지수,108.614234074375,지수
rone,A_2024_00178,202501,6대광역시,6대광역시,지수,110.994326928701,지수
rone,A_2024_00178,202501,5대광역시,5대광역시,지수,108.313403474994,지수
rone,A_2024_00178,202501,8개도,8개도,지수,102.964244801342,지수
rone,A_2024_00182,202501,도심권,서울>도심권,지수,131.819274976848,지수
rone,A_2024_00182,202501,전국,전국,지수,121.179030843966,지수
rone,A_2024_00182,202501,수도권,수도권,지수,124.327256542732,지수
rone,A_2024_00182,202501,동북권,서울>동북권,지수,129.532914399823,지수
rone,A_2024_00182,202501,지방,지방,지수,114.829239472868,지수
rone,A_2024_00182,202501,동남권,서울>동남권,지수,124.878135537755,지수
rone,A_2024_00182,202501,서북권,서울>서북권,지수,127.848985484769,지수
rone,A_2024_00182,202501,서울,서울,지수,127.708741053903,지수
rone,A_2024_00182,202501,부산,부산,지수,105.350009238686,지수
rone,A_2024_00182,202501,서남권,서울>서남권,지수,128.297220163566,지수
rone,A_2024_00182,202501,대구,대구,지수,93.8938076046578,지수
rone,A_2024_00182,202501,인천,인천,지수,116.288179634391,지수
rone,A_2024_00182,202501,광주,광주,지수,114.330886455931,지수
rone,A_2024_00182,202501,대전,대전,지수,131.990939551912,지수
rone,A_2024_00182,202501,울산,울산,지수,120.032369247823,지수
rone,A_2024_00182,202501,세종,세종,지수,138.211183082391,지수
rone,A_2024_00182,202501,경기,경기,지수,123.259857522797,지수
rone,A_2024_00182,202501,강원,강원,지수,116.533133307052,지수
rone,A_2024_00182,202501,충북,충북,지수,121.361650427574,지수
rone,A_2024_00182,202501,충남,충남,지수,118.012172910571,지수
rone,A_2024_00182,202501,전북,전북,지수,110.839386330202,지수
rone,A_2024_00182,202501,전남,전남,지수,110.774948615875,지수
rone,A_2024_00182,202501,경북,경북,지수,114.107540336264,지수
rone,A_2024_00182,202501,경남,경남,지수,122.434413815991,지수
rone,A_2024_00182,202501,제주,제주,지수,117.44033981451,지수
rone,A_2024_00182,202501,6대광역시,6대광역시,지수,112.150452192153,지수
rone,A_2024_00182,202501,5대광역시,5대광역시,지수,110.015776311544,지수
rone,A_2024_00182,202501,8개도,8개도,지수,117.749236397801,지수
rone,A_2024_00188,202501,도심권,서울>도심권,가격,1948.07671792807,만원/㎡
rone,A_2024_00188,202501,전국,전국,가격,598.737905750532,만원/㎡
rone,A_2024_00188,202501,수도권,수도권,가격,948.801575902157,만원/㎡
rone,A_2024_00188,202501,동북권,서울>동북권,가격,1231.60001960317,만원/㎡
rone,A_2024_00188,202501,지방,지방,가격,344.625800682455,만원/㎡
rone,A_2024_00188,202501,동남권,서울>동남권,가격,2424.75575861775,만원/㎡
rone,A_2024_00188,202501,서울,서울,가격,1643.51693231732,만원/㎡
rone,A_2024_00188,202501,서북권,서울>서북권,가격,1489.80753919773,만원/㎡
rone,A_2024_00188,202501,부산,부산,가격,493.125124212524,만원/㎡
rone,A_2024_00188,202501,서남권,서울>서남권,가격,1324.83763275672,만원/㎡
rone,A_2024_00188,202501,대구,대구,가격,426.405452283078,만원/㎡
rone,A_2024_00188,202501,인천,인천,가격,503.574343891327,만원/㎡
rone,A_2024_00188,202501,광주,광주,가격,378.797516482269,만원/㎡
rone,A_2024_00188,202501,대전,대전,가격,423.882731542439,만원/㎡
rone,A_2024_00188,202501,울산,울산,가격,391.501054686962,만원/㎡
rone,A_2024_00188,202501,세종,세종,가격,601.883429386097,만원/㎡
